	u{power: 1.0}_u	C_u	v{power: 1.0} * u{power: 1.0}_u	v{power: 1.0}_u	du/dx1{power: 1.0} * v{power: 1.0}_u	du/dx1{power: 1.0}_u	du/dx1{power: 1.0} * u{power: 1.0}_u	dv/dx1{power: 1.0}_u	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_u	du/dx1{power: 1.0}_r_u	du/dx1{power: 1.0} * u{power: 1.0}_r_u	du/dx1{power: 1.0} * dv/dx1{power: 1.0}_r_u	du/dx1{power: 1.0} * v{power: 1.0}_r_u	C_v	v{power: 1.0}_v	v{power: 1.0} * u{power: 1.0}_v	u{power: 1.0}_v	du/dx1{power: 1.0}_v	dv/dx1{power: 1.0}_v	dv/dx1{power: 1.0} * v{power: 1.0}_v	dv/dx1{power: 1.0} * u{power: 1.0}_v	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_v	u{power: 1.0} * du/dx1{power: 1.0}_v	dv/dx1{power: 1.0}_r_v	dv/dx1{power: 1.0} * du/dx1{power: 1.0}_r_v	dv/dx1{power: 1.0} * v{power: 1.0}_r_v
65	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
66	0.0	-0.422886702	0.0	0.8254269384	0.0	0.6802893578	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
67	0.0	0.6665929942	0.0	-1.333183211	0.0	0.0	0.0	-0.1761623647	0.0	-1.0	0.0	0.0	0.0	3.1565e-06	0.0	0.0	0.0	-0.0319513124	0.6400046781	0.0	0.0	0.0	0.0	0.0	0.0	-1.0
68	0.0	0.3305577128	0.0	-0.6611008333	0.0	0.0	0.4576246249	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
69	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
70	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.422886702	0.8254269384	0.0	0.0	0.6802893578	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
71	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	6.6166e-06	-0.9998667215	0.999847761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
72	0.6665670711	2.5379e-06	-1.3331360721	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.4999422708	0.0	0.0	0.4999486217	-0.0691337316	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
73	-9.594e-07	0.6665925272	0.0	-1.3331791331	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
74	0.6664521799	-0.6663184741	0.0	0.0	0.0	0.0	0.0	-1.3330391581	0.0	-1.0	0.0	0.0	0.0	-0.2468548956	0.0	0.0	0.2468546169	0.0	0.0	0.8786663179	0.0	0.0	0.0	-1.0	0.0	0.0
