	d^2u/dx2^2{power: 1.0}	u{power: 1.0}	C	du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}_r	du/dx1{power: 1.0}_r
49	0.0276466390350311	-0.2180803600893647	0.2630550855130323	-0.0411104426915212	-1	0
50	0.0	0.0	0.0	0.0	0	-1
51	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
52	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
53	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
54	0.0	0.0	0.0	0.0	0	-1
55	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
56	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
57	0.0	0.0	0.0	0.0	0	-1
58	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
59	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
60	0.0	0.0	0.0	0.0	0	-1
61	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
62	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
63	0.0	0.0	0.0	0.0	0	-1
64	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
65	0.0	0.0	0.0	0.0	0	-1
66	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
67	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
68	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
69	0.0	0.0	0.0	0.0	0	-1
70	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
71	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
72	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
73	0.0	0.0	0.0	0.0	0	-1
74	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
75	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
76	0.0276466390350314	-0.218080360089353	0.263055085512993	-0.0411104426915212	-1	0
77	0.0	0.0	0.0	0.0	0	-1
78	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
79	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
80	0.0	0.0	0.0	0.0	0	-1
81	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
82	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
83	0.0276466390350329	-0.2180803600893364	0.263055085512941	-0.0411104426915203	-1	0
