	d^2u/dx2^2{power: 1.0}	du/dx2{power: 1.0}	u{power: 1.0}	C	du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}_r	du/dx1{power: 1.0}_r
23	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
24	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
25	0.05229946075148954	0.0	0.48313154957757376	-1.690463668552215	0.017870277517151926	-1	0
26	0.0	0.0	0.0	0.0	0.0	0	-1
27	0.05010276199322834	-0.0002320414810459948	0.40394081652211694	-1.4398369178958632	0.0	-1	0
28	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
29	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
30	0.0	0.0	0.0	0.0	0.0	0	-1
31	0.05229946075148952	0.0	0.483131549577575	-1.6904636685522205	0.0178702775171546	-1	0
32	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
33	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
34	0.0	0.0	0.0	0.0	0.0	0	-1
35	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
36	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
37	0.0	0.0	0.0	0.0	0.0	0	-1
38	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
39	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
40	0.05229946075148952	0.0	0.483131549577575	-1.6904636685522205	0.0178702775171546	-1	0
41	0.0	0.0	0.0	0.0	0.0	0	-1
42	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
43	0.05229946075148952	0.0	0.483131549577575	-1.6904636685522205	0.0178702775171546	-1	0
44	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
45	0.0	0.0	0.0	0.0	0.0	0	-1
46	0.05010276199322834	-0.0002320414810459948	0.40394081652211694	-1.4398369178958632	0.0	-1	0
47	0.05229946075148954	0.0	0.48313154957757376	-1.690463668552215	0.017870277517151926	-1	0
48	0.0	0.0	0.0	0.0	0.0	0	-1
49	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
50	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
51	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
52	0.05229946075148955	0.0	0.48313154957757554	-1.6904636685522219	0.017870277517153726	-1	0
53	0.0	0.0	0.0	0.0	0.0	0	-1
54	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
55	0.05229946075148946	0.0	0.48313154957757254	-1.6904636685522147	0.01787027751715041	-1	0
56	0.0	0.0	0.0	0.0	0.0	0	-1
57	0.037944533793555064	-0.00023205155841609686	0.0	-0.16857323042594197	-0.02561195909607636	-1	0
58	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
59	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
60	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
61	0.0	0.0	0.0	0.0	0.0	0	-1
62	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
63	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
64	0.0	0.0	0.0	0.0	0.0	0	-1
65	0.05010276199322834	-0.0002320414810459948	0.40394081652211694	-1.4398369178958632	0.0	-1	0
66	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
67	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
68	0.0	0.0	0.0	0.0	0.0	0	-1
69	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
70	0.05229946075148946	0.0	0.48313154957757254	-1.6904636685522147	0.01787027751715041	-1	0
71	0.0	0.0	0.0	0.0	0.0	0	-1
72	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
73	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
74	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
75	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
76	0.0	0.0	0.0	0.0	0.0	0	-1
77	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
78	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
79	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
80	0.0	0.0	0.0	0.0	0.0	0	-1
81	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
82	0.05229946075148946	0.0	0.48313154957757254	-1.6904636685522147	0.01787027751715041	-1	0
83	0.0	0.0	0.0	0.0	0.0	0	-1
84	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
85	0.0501027619932284	-0.00023204148104599522	0.4039408165221179	-1.439836917895866	0.0	-1	0
86	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
87	0.037944533793555064	-0.00023205155841609686	0.0	-0.16857323042594197	-0.02561195909607636	-1	0
88	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
89	0.0	0.0	0.0	0.0	0.0	0	-1
90	0.0	0.0	0.0	0.0	0.0	0	-1
91	0.05229946075148954	0.0	0.48313154957757376	-1.690463668552215	0.017870277517151926	-1	0
92	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
93	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
94	0.0	0.0	0.0	0.0	0.0	0	-1
95	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
96	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
97	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
98	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
99	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
100	0.0	0.0	0.0	0.0	0.0	0	-1
101	0.05229946075148955	0.0	0.48313154957757554	-1.6904636685522219	0.017870277517153726	-1	0
102	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
103	0.0	0.0	0.0	0.0	0.0	0	-1
104	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
105	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
106	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
107	0.0	0.0	0.0	0.0	0.0	0	-1
108	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
109	0.05229946075148955	0.0	0.48313154957757554	-1.6904636685522219	0.017870277517153726	-1	0
110	0.0	0.0	0.0	0.0	0.0	0	-1
111	0.0501027619932284	-0.00023204148104599522	0.4039408165221179	-1.439836917895866	0.0	-1	0
112	0.0	0.0	0.0	0.0	0.0	0	-1
113	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
114	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
115	0.05229946075148946	0.0	0.48313154957757254	-1.6904636685522147	0.01787027751715041	-1	0
116	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
117	0.0	0.0	0.0	0.0	0.0	0	-1
118	0.037572061898378625	-0.0002319692804486494	0.0	-0.1713663510426852	0.0	-1	0
119	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
120	0.052299460751489724	0.0	0.48313154957757537	-1.6904636685522192	0.017870277517145563	-1	0
121	0.0	0.0	0.0	0.0	0.0	0	-1
122	0.05229946075148954	0.0	0.48313154957757376	-1.690463668552215	0.017870277517151926	-1	0
123	0.0	0.0	0.0	0.0	0.0	0	-1
124	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
125	0.037944533793555064	-0.00023205155841609686	0.0	-0.16857323042594197	-0.02561195909607636	-1	0
126	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
127	0.05229946075148955	0.0	0.48313154957757554	-1.6904636685522219	0.017870277517153726	-1	0
128	0.0	0.0	0.0	0.0	0.0	0	-1
129	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
130	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
131	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
132	0.0	0.0	0.0	0.0	0.0	0	-1
133	0.037944533793555064	-0.00023205155841609686	0.0	-0.16857323042594197	-0.02561195909607636	-1	0
134	0.05229946075148955	0.0	0.48313154957757554	-1.6904636685522219	0.017870277517153726	-1	0
135	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
136	0.0	0.0	0.0	0.0	0.0	0	-1
137	0.05010276199322834	-0.0002320414810459948	0.40394081652211694	-1.4398369178958632	0.0	-1	0
138	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
139	0.03757206189837861	-0.00023196928044863507	0.0	-0.17136635104268544	0.0	-1	0
140	0.0	0.0	0.0	0.0	0.0	0	-1
141	0.0501027619932284	-0.00023204148104599522	0.4039408165221179	-1.439836917895866	0.0	-1	0
142	0.03757206020154708	0.0	0.0	-0.17136645154641753	0.0	-1	0
143	0.0	0.0	0.0	0.0	0.0	0	-1
144	0.052299460751489696	0.0	0.4831315495775757	-1.6904636685522196	0.017870277517152925	-1	0
